"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:57.9","3:57.9","1.00","3:58","139","148","4","1","160","1.58","50","28.0","3:34","170","3:57.9","3:58"
"2","3:38.6","7:36.6","1.00","3:39","153","160","1","0","164","1.68","54","27.0","3:26","167","3:38.6","3:39"
"3","3:22.3","10:59","1.00","3:22","154","166","2","0","166","1.78","47","27.0","2:48","175","3:22","3:22"
"4","3:21.4","14:20","1.00","3:21","166","168","1","1","167","1.79","53","26.0","3:07","172","3:21","3:21"
"5","3:24.3","17:45","1.00","3:24","165","167","3","4","165","1.78","53","25.0","3:20","169","3:24.3","3:24"
"6","3:24.3","21:09","1.00","3:24","167","169","0","2","165","1.78","54","25.0","3:19","172","3:23","3:23"
"7","3:24.3","24:33","1.00","3:24","167","170","0","0","165","1.78","54","25.0","3:13","170","3:24.3","3:24"
"8","3:20.3","27:54","1.00","3:20","167","171","1","2","164","1.83","52","25.0","3:11","171","3:19","3:19"
"9","3:24.7","31:18","1.00","3:25","170","171","3","0","165","1.78","54","26.0","3:20","169","3:24.7","3:25"
"10","3:29.1","34:47","1.00","3:29","171","172","4","1","165","1.74","56","27.0","3:23","169","3:29","3:29"
"11","3:22.0","38:09","1.00","3:22","173","174","1","3","166","1.79","54","26.0","3:18","170","3:22.0","3:22"
"12","3:21.1","41:30","1.00","3:21","172","174","0","3","166","1.80","54","27.0","3:13","169","3:21","3:21"
"13","0:03.1","41:33","0.02","2:57","171","171","0","0","167","2.03","0","27.0","3:17","167","0:03","2:53"
"Summary","41:33","41:33","12.02","3:27","163","174","20","18","165","1.75","635","26.2","2:48","175","41:30","3:27"
