"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","0:47.4","0:47.4","0.26","3:01","151","161","1","1","177","1.87","10","23.0","2:38","183","0:47.4","3:01"
"","","Rest","2","1:30","2:17.4","0.23","6:25","145","162","0","0","138","1.13","20","24.0","3:01","179","1:30","6:25"
"","2","Run","3","1:00","3:17.4","0.33","3:04","149","167","0","0","174","1.88","13","25.0","2:32","185","0:59","3:01"
"","","Rest","4","1:30","4:47.4","0.32","4:39","155","168","0","0","159","1.35","22","24.0","3:08","180","1:30","4:39"
"","3","Run","5","1:00","5:47.4","0.34","2:56","159","171","1","0","178","1.92","14","23.0","2:25","185","1:00","2:56"
"","","Rest","6","1:30","7:17.4","0.20","7:31","153","171","0","1","126","1.06","21","22.0","2:58","177","1:19","6:36"
"","4","Run","7","1:00","8:17.4","0.34","2:56","151","171","3","2","177","1.93","13","22.0","2:43","183","1:00","2:56"
"","","Rest","8","1:30","9:47.4","0.28","5:23","160","173","0","1","148","1.25","22","22.0","2:41","180","1:30","5:23"
"","5","Run","9","1:00","10:47","0.32","3:05","158","175","4","5","172","1.89","14","23.0","2:28","185","1:00","3:05"
"","","Rest","10","1:30","12:17","0.18","8:15","158","176","1","0","107","1.13","21","22.0","3:36","226","1:18","7:09"
"","6","Run","11","1:00","13:17","0.36","2:45","152","173","2","2","168","2.17","12","22.0","2:32","183","0:59","2:42"
"","","Rest","12","1:30","14:47","0.28","5:23","159","174","1","0","150","1.24","22","22.0","2:39","180","1:30","5:23"
"","7","Run","13","2:13.6","17:01","0.10","22:21","120","145","1","3","43","1.05","13","22.0","5:15","159","1:53","18:54"
"","Summary","--","--","17:01","17:01","3.55","4:47","150","176","16","16","138","1.43","217","22.7","2:25","226","16:15","4:34"
