"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:34.7","4:34.7","1.00","4:35","96","132","1","6","162","1.34","20","19.0","3:31","170","4:34.7","4:35"
"2","4:18.8","8:53.5","1.00","4:19","126","136","1","0","161","1.44","34","13.0","4:13","167","4:18.8","4:19"
"3","4:27.8","13:21","1.00","4:28","107","141","3","2","159","1.41","21","12.0","4:12","165","4:25","4:25"
"4","4:18.7","17:40","1.00","4:19","89","102","7","1","161","1.44","12","10.0","3:58","169","4:18.7","4:19"
"5","0:05.7","17:46","0.03","3:41","78","78","0","0","162","1.68","0","9.0","4:06","163","0:05","3:13"
"Summary","17:46","17:46","4.03","4:25","104","141","12","9","161","1.41","87","13.5","3:31","170","17:42","4:24"
