"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:43.6","4:43.6","1.00","4:44","123","134","3","5","160","1.32","38","20.0","3:41","173","4:43.6","4:44"
"2","4:22.1","9:05.8","1.00","4:22","135","140","6","0","158","1.44","38","13.0","3:59","161","4:22","4:22"
"3","4:17.8","13:24","1.00","4:18","139","142","3","1","159","1.47","37","10.0","3:58","163","4:17.8","4:18"
"4","4:16.7","17:40","1.00","4:17","142","150","17","2","158","1.48","39","10.0","4:15","161","4:16","4:16"
"5","4:10.5","21:51","1.00","4:10","138","149","10","18","155","1.54","35","8.0","3:53","165","4:09","4:09"
"6","4:09.6","26:00","1.00","4:10","142","145","2","8","159","1.52","33","7.0","3:51","163","4:09.6","4:10"
"7","4:06.6","30:07","1.00","4:07","141","144","0","2","157","1.55","29","7.0","3:58","161","4:06","4:06"
"8","4:11.0","34:18","1.00","4:11","140","144","5","4","158","1.51","30","7.0","3:46","167","4:11.0","4:11"
"9","0:00.9","34:19","0.01","2:28","143","143","0","0","160","2.54","0","7.0","4:06","160","0:00.9","2:28"
"Summary","34:19","34:19","8.01","4:17","137","150","47","41","158","1.48","279","10.4","3:41","173","34:16","4:17"
