"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:11.5","4:11.5","1.00","4:12","149","175","21","1","162","1.47","56","22.0","3:46","167","4:11.5","4:12"
"2","4:17.0","8:28.5","1.00","4:17","152","180","27","0","160","1.46","50","20.0","4:00","165","4:16","4:16"
"3","4:11.4","12:40","1.00","4:11","131","178","10","0","165","1.44","44","21.0","3:58","174","4:11.4","4:11"
"4","4:29.6","17:10","1.00","4:30","170","175","8","0","163","1.36","69","22.0","4:17","169","4:29","4:29"
"5","0:05.2","17:15","0.02","4:58","80","89","2","0","165","1.22","0","21.0","4:32","165","0:05","4:49"
"6","4:09.0","21:24","1.00","4:09","133","143","6","42","167","1.45","34","22.0","3:43","177","4:09.0","4:09"
"7","0:04.7","21:28","0.02","4:30","130","130","0","0","166","1.34","0","21.0","3:48","166","0:03","2:52"
"8","3:48.1","25:17","1.00","3:48","132","135","0","56","167","1.57","30","21.0","3:35","175","3:48.1","3:48"
"9","4:03.1","29:20","1.00","4:03","134","142","0","13","160","1.54","30","21.0","3:40","172","4:00","4:00"
"10","4:03.0","33:23","1.00","4:03","132","139","3","27","164","1.50","31","20.0","3:51","174","4:02","4:02"
"11","3:56.4","37:19","1.00","3:56","135","138","0","18","163","1.56","33","21.0","3:41","173","3:56.4","3:56"
"12","4:01.3","41:20","1.00","4:01","137","142","1","9","162","1.54","33","23.0","3:49","169","4:01","4:01"
"13","4:01.3","45:22","1.00","4:01","139","143","3","11","162","1.53","32","23.0","3:50","169","4:01","4:01"
"14","3:13.4","48:35","0.75","4:19","146","149","19","0","161","1.44","34","24.0","4:06","167","3:13","4:18"
"15","4:16.5","52:51","0.98","4:23","148","152","30","0","159","1.43","47","24.0","4:16","163","4:16","4:22"
"16","2:07.6","54:59","0.49","4:19","151","154","15","0","159","1.45","24","24.0","4:08","165","2:07.6","4:19"
"17","4:08.8","59:08","0.99","4:11","142","151","8","8","160","1.50","35","24.0","4:02","165","4:08","4:10"
"18","4:01.5","1:03:09","0.99","4:05","141","147","1","6","161","1.52","30","24.0","3:42","167","4:01.5","4:05"
"19","4:04.8","1:07:14","1.00","4:05","142","146","3","0","161","1.53","31","24.0","3:56","165","4:04.8","4:05"
"20","0:11.3","1:07:25","0.05","3:48","145","146","0","0","163","1.62","1","24.0","3:49","165","0:10","3:21"
"Summary","1:07:25","1:07:25","16.28","4:09","142","180","157","191","162","1.49","644","22.3","3:35","177","1:07:14","4:08"
