"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:12.7","5:12.7","1.00","5:13","135","152","8","4","165","1.16","48","21.0","3:50","191","5:12.7","5:13"
"2","4:46.4","9:59.1","1.00","4:46","148","154","3","7","162","1.29","52","14.0","4:29","169","4:46.4","4:46"
"3","4:47.2","14:46","1.00","4:47","157","161","6","0","162","1.29","56","12.0","4:26","165","4:47","4:47"
"4","4:36.9","19:23","1.00","4:37","162","168","3","5","161","1.34","56","10.0","4:31","167","4:36.9","4:37"
"5","4:31.5","23:55","1.00","4:32","162","173","4","2","161","1.37","54","9.0","4:02","165","4:31","4:31"
"6","4:32.3","28:27","1.00","4:32","161","172","2","4","161","1.37","54","9.0","4:05","167","4:32.3","4:32"
"7","4:38.0","33:05","1.00","4:38","156","172","5","6","162","1.34","49","9.0","4:26","167","4:38.0","4:38"
"8","4:25.7","37:31","1.00","4:26","159","166","5","2","161","1.40","50","8.0","4:06","165","4:25.7","4:26"
"9","4:31.8","42:02","1.00","4:32","160","166","2","3","161","1.37","51","7.0","4:00","165","4:31","4:31"
"10","4:35.8","46:38","1.00","4:36","165","173","5","7","162","1.34","55","7.0","4:00","169","4:35.8","4:36"
"11","4:43.3","51:22","1.00","4:43","160","165","2","1","162","1.31","51","6.0","4:18","167","4:43","4:43"
"12","5:03.5","56:25","1.00","5:03","160","167","7","8","161","1.23","54","6.0","3:06","175","5:03","5:03"
"13","2:48.3","59:13","0.14","19:26","137","163","1","2","12","4.47","11","8.0","11:59","153","2:48","19:23"
"Summary","59:13","59:13","12.14","4:53","156","173","53","51","155","1.46","641","9.9","3:06","191","59:11","4:52"
