"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:22.2","4:22.2","1.00","4:22","137","145","1","0","157","1.46","44","21.0","3:54","165","4:22.2","4:22"
"2","4:19.4","8:41.6","1.00","4:19","146","156","5","2","155","1.49","48","18.0","3:57","165","4:18","4:18"
"3","4:21.9","13:03","1.00","4:22","154","158","1","1","157","1.46","53","16.0","3:56","161","4:21.9","4:22"
"4","4:04.3","17:08","1.00","4:04","161","166","1","0","158","1.55","52","14.0","3:59","165","4:04","4:04"
"5","4:11.9","21:20","1.00","4:12","159","166","3","1","157","1.52","53","14.0","3:55","163","4:11.9","4:12"
"6","4:13.5","25:33","1.00","4:13","159","166","2","0","157","1.51","51","14.0","4:09","161","4:13.5","4:14"
"7","4:15.5","29:49","1.00","4:16","149","157","4","6","157","1.50","43","17.0","4:08","168","4:15","4:15"
"8","4:10.9","34:00","1.00","4:11","151","158","0","3","158","1.52","43","15.0","4:05","161","4:10","4:10"
"9","4:03.5","38:03","1.00","4:03","149","156","0","1","159","1.55","39","15.0","4:00","165","4:03.5","4:03"
"10","4:03.5","42:07","1.00","4:03","147","153","1","0","158","1.56","35","16.0","3:51","163","4:03","4:03"
"11","4:00.7","46:07","1.00","4:01","146","153","1","4","158","1.58","33","18.0","3:47","163","4:00.7","4:01"
"12","3:56.8","50:04","1.00","3:57","152","163","2","1","157","1.61","39","19.0","3:50","163","3:56.8","3:57"
"13","0:12.1","50:16","0.05","3:40","150","151","0","0","161","1.70","1","18.0","3:49","165","0:11","3:20"
"Summary","50:16","50:16","12.05","4:10","151","166","21","20","157","1.52","534","16.4","3:47","168","50:12","4:10"
