"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","0:13.5","0:13.5","0.06","3:44","162","163","1","0","177","1.51","2","16.0","2:55","178","0:13","3:35"
"","","Rest","2","1:30","1:43.5","0.20","7:27","144","164","1","0","127","1.05","21","16.0","4:43","177","1:30","7:27"
"","2","Run","3","1:00","2:43.5","0.33","3:01","147","166","1","1","168","1.97","13","16.0","2:36","183","0:59","2:58"
"","","Rest","4","1:30","4:13.5","0.31","4:49","155","167","0","1","158","1.31","22","16.0","3:28","175","1:30","4:49"
"","3","Run","5","1:00","5:13.5","0.34","2:58","153","167","2","1","176","1.92","14","16.0","2:28","185","1:00","2:58"
"","","Rest","6","1:28.1","6:41.6","0.20","7:31","150","170","0","0","132","1.01","20","16.0","3:29","175","1:27","7:25"
"","4","Run","7","1:00","7:41.6","0.35","2:54","146","166","0","0","180","1.92","13","16.0","2:32","228","1:00","2:54"
"","","Rest","8","1:30","9:11.6","0.26","5:40","152","168","0","1","149","1.19","21","16.0","2:48","177","1:30","5:40"
"","5","Run","9","1:00","10:12","0.31","3:14","154","167","3","2","174","1.77","14","16.0","2:39","187","1:00","3:14"
"","","Rest","10","1:30","11:42","0.28","5:25","151","170","0","0","142","1.30","20","16.0","3:56","216","1:29","5:21"
"","6","Run","11","1:00","12:42","0.34","2:56","153","166","0","0","175","1.95","13","16.0","2:33","183","1:00","2:56"
"","","Rest","12","1:30","14:12","0.24","6:17","153","168","1","0","138","1.16","21","16.0","2:55","228","1:27","6:04"
"","7","Run","13 - 14","3:37.0","17:49","0.18","19:44","113","135","4","5","49","1.04","17","17.0","4:52","163","1:15","6:49"
"","Summary","--","--","17:49","17:49","3.40","5:15","143","170","14","12","132","1.35","211","16.2","2:28","228","15:20","4:31"
