"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:34.0","4:34.0","1.00","4:34","126","136","2","1","155","1.41","37","19.0","4:08","173","4:27","4:27"
"2","4:09.3","8:43.3","1.00","4:09","135","141","3","6","160","1.51","36","14.0","4:02","163","4:09.3","4:09"
"3","4:04.6","12:48","1.00","4:05","138","141","1","2","160","1.53","34","12.0","4:02","163","4:04","4:04"
"4","4:12.1","17:00","1.00","4:12","143","151","17","6","158","1.50","39","10.0","4:01","163","4:12","4:12"
"5","4:04.3","21:04","1.00","4:04","135","145","11","15","161","1.52","30","10.0","3:44","169","4:04.3","4:04"
"6","4:03.5","25:08","1.00","4:04","141","144","4","6","160","1.54","32","8.0","3:36","165","4:03","4:03"
"7","4:02.8","29:11","1.00","4:03","143","149","7","2","159","1.56","35","7.0","3:59","161","4:02.8","4:03"
"8","4:05.1","33:16","1.00","4:05","139","150","4","3","159","1.54","32","7.0","3:50","175","4:05","4:05"
"9","0:40.8","33:57","0.18","3:45","138","142","1","0","162","1.64","5","10.0","3:51","163","0:40","3:41"
"Summary","33:57","33:57","8.18","4:09","137","151","50","43","159","1.51","280","11.0","3:36","175","33:47","4:08"
