"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:58.6","3:58.6","1.00","3:59","126","142","0","15","158","1.59","32","21.0","3:50","173","3:58.6","3:59"
"2","4:10.7","8:09.3","1.00","4:11","149","155","22","3","156","1.54","48","18.0","3:54","161","4:10.7","4:11"
"3","3:47.2","11:57","1.00","3:47","141","150","0","28","152","1.73","37","16.0","3:22","167","3:44","3:44"
"4","4:10.4","16:07","1.00","4:10","146","154","2","7","154","1.55","43","14.0","3:32","160","4:10","4:10"
"5","4:04.6","20:12","1.00","4:05","146","151","0","0","154","1.59","40","12.0","3:49","161","4:04","4:04"
"6","4:10.9","24:23","1.00","4:11","147","151","0","1","154","1.55","42","11.0","3:50","158","4:10.9","4:11"
"7","4:14.1","28:37","1.00","4:14","145","154","3","7","156","1.52","39","11.0","3:43","167","4:14","4:14"
"8","3:02.3","31:39","0.74","4:06","149","157","3","1","156","1.56","29","11.0","3:58","163","3:01","4:05"
"Summary","31:39","31:39","7.74","4:05","144","157","30","63","155","1.58","310","14.3","3:22","173","31:33","4:05"
