"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","0:20","0:20","0.13","2:31","87","100","2","1","167","2.39","1","26.0","2:12","205","0:19","2:23"
"","","Rest","2","0:45","1:05","0.13","5:47","120","133","0","2","99","1.74","7","25.0","2:10","205","0:45","5:47"
"","2","Run","3","0:20","1:25","0.13","2:34","138","142","0","1","164","2.38","4","24.0","2:16","196","0:20","2:34"
"","","Rest","4","0:45","2:10","0.13","5:58","135","144","1","0","142","1.18","9","23.0","2:16","196","0:45","5:58"
"","3","Run","5","0:20","2:30","0.14","2:25","134","137","0","0","183","2.26","4","23.0","2:17","193","0:20","2:25"
"","","Rest","6","0:45","3:15","0.12","6:14","139","143","1","1","161","1.00","9","23.0","2:23","191","0:45","6:14"
"","4","Run","7","0:20","3:35","0.14","2:27","142","144","0","0","179","2.29","4","23.0","2:15","191","0:20","2:27"
"","","Rest","8","0:45","4:20","0.12","6:24","142","146","1","0","127","1.23","10","23.0","2:22","191","0:45","6:24"
"","5","Run","9","0:20","4:40","0.14","2:21","138","145","0","0","170","2.50","4","23.0","2:12","196","0:20","2:21"
"","","Rest","10","0:45","5:25","0.12","6:30","136","143","1","1","95","1.63","9","23.0","2:17","196","0:45","6:30"
"","6","Run","11","0:20","5:45","0.14","2:23","133","137","2","0","184","2.28","3","23.0","2:12","196","0:20","2:23"
"","","Rest","12","0:45","6:30","0.12","6:17","128","133","0","3","120","1.33","7","22.0","2:13","198","0:39","5:27"
"","7","Run","13","0:20","6:50","0.14","2:20","136","138","0","0","166","2.59","4","22.0","2:10","191","0:20","2:20"
"","","Rest","14","0:45","7:35","0.11","6:33","132","140","2","3","134","1.14","8","22.0","2:16","193","0:42","6:07"
"","8","Run","15","0:20","7:55","0.14","2:19","128","134","1","0","185","2.33","3","23.0","2:05","194","0:20","2:19"
"","","Rest","16","0:45","8:40","0.08","9:56","127","135","0","2","76","1.32","7","22.0","2:10","194","0:44","9:42"
"","9","Run","17","0:20","9:00","0.14","2:21","122","130","1","0","175","2.42","2","23.0","2:11","197","0:20","2:21"
"","","Rest","18","0:45","9:45","0.09","8:49","133","136","0","0","112","1.01","8","23.0","2:12","197","0:44","8:37"
"","10","Run","19","0:20","10:05","0.15","2:16","132","137","2","0","185","2.39","3","23.0","1:57","198","0:20","2:16"
"","","Rest","20","0:45","10:50","0.09","8:34","126","138","0","0","81","1.43","7","23.0","2:08","198","0:45","8:34"
"","11","Run","21","0:07.1","10:57","0.01","15:07","119","120","0","0","112","0.59","0","24.0","10:57","113","0:07","14:48"
"","Summary","--","--","10:57","10:57","2.49","4:24","131","146","16","14","133","1.62","113","23.0","1:57","205","10:45","4:19"
