"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Ground Contact Time","Avg Stride Length","Avg Vertical Oscillation","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:15.2","3:15.2","1.01","3:14","143","157","5","2","177","177","1.75","11.4","33","13.0","3:03","186","3:14","3:13"
"2","3:12.6","6:27.9","1.01","3:11","160","164","3","3","177","175","1.78","11.5","39","11.0","3:03","181","3:12","3:10"
"3","3:09.0","9:36.8","1.04","3:01","165","169","1","2","179","173","1.85","11.0","39","11.0","2:55","182","3:09.0","3:01"
"4","3:07.8","12:45","1.05","2:59","167","170","2","1","179","170","1.86","11.0","40","10.0","2:52","183","3:07.8","2:59"
"5","3:59.1","16:44","0.34","11:47","117","167","2","1","111","369","0.76","5.7","20","11.0","3:07","217","2:59","8:49"
"6","3:06.2","19:50","1.01","3:05","156","167","5","5","178","171","1.82","11.3","34","10.0","2:46","188","3:03","3:02"
"7","3:05.4","22:55","1.03","3:00","168","171","1","0","180","169","1.85","11.0","39","10.0","2:53","182","3:05.4","3:00"
"8","3:04.4","26:00","1.04","2:57","169","171","2","2","181","168","1.88","10.9","39","9.0","2:38","184","3:04","2:57"
"9","3:57.1","29:57","0.20","20:06","118","169","0","3","73","362","0.68","6.1","15","10.0","2:58","179","1:59","10:06"
"10","2:59.4","32:56","1.03","2:55","158","169","5","3","181","170","1.90","11.0","32","10.0","2:37","189","2:59.4","2:55"
"11","2:53.6","35:50","1.02","2:51","184","202","3","3","180","153","1.95","12.4","40","9.0","2:32","188","2:53","2:50"
"12","4:13.8","40:04","0.25","17:02","161","202","0","4","54","394","1.09","5.0","28","11.0","2:45","256","2:55","11:45"
"13","2:45.1","42:49","1.00","2:45","130","148","5","1","172","--","2.11","--","15","10.0","2:19","185","2:45","2:44"
"14","7:36.0","50:25","0.34","22:39","112","149","1","3","27","--","1.66","--","17","11.0","2:31","182","4:17","12:45"
"15","23:49","1:14:14","2.98","8:00","118","142","1","2","99","--","1.26","--","84","12.0","4:06","167","15:17","5:08"
"Summary","1:14:14","1:14:14","14.33","5:11","139","202","35","34","122","197","1.49","10.4","514","11.0","2:19","256","58:00","4:03"
