"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:12.8","4:12.8","1.00","4:13","126","139","5","1","161","1.47","35","18.0","3:39","172","4:12.8","4:13"
"2","4:02.8","8:15.6","1.00","4:03","137","143","4","1","162","1.53","37","12.0","3:56","167","4:02.8","4:03"
"3","4:02.4","12:18","1.00","4:02","142","145","2","3","161","1.54","36","11.0","3:42","169","4:02.4","4:02"
"4","4:02.8","16:21","1.00","4:03","142","145","1","0","159","1.55","36","9.0","3:41","163","4:02","4:02"
"5","4:09.2","20:30","1.00","4:09","144","149","4","3","159","1.51","40","9.0","3:53","165","4:09.2","4:09"
"6","4:07.7","24:38","1.00","4:08","137","144","1","2","159","1.52","30","9.0","3:58","163","4:07","4:07"
"7","4:03.6","28:41","1.00","4:04","143","146","0","0","158","1.55","32","9.0","3:36","161","4:03.6","4:04"
"8","4:02.9","32:44","1.00","4:03","147","150","4","1","159","1.55","38","9.0","3:49","163","4:02.9","4:03"
"9","4:00.9","36:45","1.00","4:01","148","152","1","4","158","1.57","38","8.0","3:45","169","4:00","4:00"
"10","3:54.3","40:39","1.00","3:54","144","151","3","5","161","1.59","30","8.0","3:39","165","3:54","3:54"
"11","0:03.2","40:43","0.01","3:50","148","148","0","0","160","1.63","0","8.0","3:57","160","0:02","2:26"
"Summary","40:43","40:43","10.01","4:04","141","152","25","21","160","1.54","352","10.2","3:36","172","40:39","4:04"
