"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:54.3","3:54.3","1.00","3:54","131","141","1","1","159","1.61","35","24.0","3:29","172","3:54.3","3:54"
"2","3:48.4","7:42.7","1.00","3:48","142","148","1","1","160","1.64","39","21.0","3:32","165","3:48","3:48"
"3","4:04.2","11:47","1.00","4:04","144","147","11","1","160","1.54","44","20.0","3:51","165","4:04","4:04"
"4","4:01.8","15:49","1.00","4:02","140","143","4","2","158","1.57","38","18.0","3:49","163","4:01.8","4:02"
"5","3:54.8","19:43","1.00","3:55","145","151","11","0","159","1.61","40","20.0","3:36","165","3:54.8","3:55"
"6","3:49.2","23:33","1.00","3:49","139","151","8","5","160","1.63","32","20.0","3:38","168","3:48","3:48"
"7","3:28.0","27:01","1.00","3:28","148","156","3","18","162","1.78","36","20.0","2:59","167","3:28","3:28"
"8","3:24.2","30:25","1.00","3:24","156","160","0","9","162","1.81","40","20.0","2:59","167","3:24.2","3:24"
"9","3:45.3","34:10","1.00","3:45","153","163","1","2","160","1.67","42","20.0","3:16","165","3:45","3:45"
"10","3:43.1","37:53","1.00","3:43","150","154","0","0","159","1.69","38","20.0","3:38","163","3:43","3:43"
"11","3:51.2","41:45","1.00","3:51","149","155","2","2","160","1.63","37","20.0","3:41","167","3:51","3:51"
"12","3:27.1","45:12","1.00","3:27","151","154","2","2","161","1.80","35","20.0","3:07","167","3:27","3:27"
"13","3:38.0","48:50","1.00","3:38","153","156","0","1","161","1.71","38","21.0","3:17","167","3:38","3:38"
"14","1:15.1","50:05","0.35","3:38","155","157","1","0","161","1.71","13","21.0","3:36","165","1:14","3:34"
"Summary","50:05","50:05","13.35","3:45","146","163","47","44","160","1.66","507","20.3","2:59","172","50:01","3:45"
