"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:19.8","4:19.8","1.00","4:20","122","135","1","20","159","1.45","33","19.0","3:45","169","4:19.8","4:20"
"2","4:26.2","8:46.1","1.00","4:26","136","142","15","0","158","1.42","39","16.0","3:53","167","4:26","4:26"
"3","4:08.7","12:55","1.00","4:09","137","141","5","2","158","1.53","36","13.0","3:51","163","4:08.7","4:09"
"4","4:14.8","17:10","1.00","4:15","134","142","10","17","157","1.50","33","11.0","3:49","163","4:14.8","4:15"
"5","4:11.6","21:21","1.00","4:12","135","138","4","2","156","1.52","31","11.0","3:51","161","4:11","4:11"
"6","4:09.9","25:31","1.00","4:10","134","141","5","16","157","1.53","30","10.0","3:53","161","4:09.9","4:10"
"7","4:26.5","29:58","1.00","4:27","137","142","17","3","155","1.45","35","10.0","3:58","163","4:26.5","4:27"
"8","4:09.0","34:07","1.00","4:09","137","144","5","1","156","1.54","29","9.0","3:53","161","4:09","4:09"
"9","0:28.1","34:35","0.11","4:19","142","143","3","0","155","1.49","4","8.0","4:14","157","0:27","4:09"
"Summary","34:35","34:35","8.11","4:16","134","144","65","62","157","1.49","270","12.4","3:45","169","34:33","4:16"
