"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:20.5","4:20.5","1.00","4:20","126","136","2","6","167","1.38","45","27.0","3:47","228","4:20.5","4:21"
"2","4:05.4","8:25.9","1.00","4:05","134","143","6","4","165","1.48","46","23.0","3:50","174","4:05","4:05"
"3","4:06.5","12:32","1.00","4:07","135","150","15","17","167","1.46","45","23.0","3:32","238","4:06","4:06"
"4","0:04.5","12:37","0.02","3:13","137","137","0","0","166","1.87","0","22.0","3:53","167","0:04","2:52"
"Summary","12:37","12:37","3.02","4:10","132","150","24","26","166","1.44","136","24.4","3:32","238","12:36","4:10"
