"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:32.4","4:32.4","1.00","4:32","129","138","5","6","164","1.35","38","17.0","3:55","173","4:32","4:32"
"2","4:07.4","8:39.8","1.00","4:07","137","141","6","0","160","1.51","37","12.0","3:54","165","4:07.4","4:07"
"3","4:16.1","12:56","1.00","4:16","138","141","3","1","160","1.46","37","9.0","3:43","167","4:16","4:16"
"4","4:04.3","17:00","1.00","4:04","140","149","16","1","158","1.55","35","8.0","3:56","167","4:04","4:04"
"5","3:51.8","20:52","1.00","3:52","134","147","3","15","160","1.62","29","7.0","3:43","223","3:51","3:51"
"6","4:05.5","24:58","1.00","4:06","142","146","3","8","158","1.55","33","7.0","3:40","163","4:05.5","4:06"
"7","3:54.7","28:52","1.00","3:55","141","144","2","5","156","1.64","32","7.0","3:11","161","3:54","3:54"
"8","4:03.3","32:56","1.00","4:03","145","148","5","4","159","1.55","36","6.0","3:20","165","4:03","4:03"
"9","0:03.9","32:59","0.01","4:38","144","145","0","0","160","1.35","0","6.0","4:07","160","0:03","3:32"
"Summary","32:59","32:59","8.01","4:07","138","149","42","39","159","1.52","277","9.3","3:11","223","32:56","4:07"
