"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.34","2:54","140","164","0","0","160","2.15","11","23.0","2:47","187","1:00","2:54"
"","","Rest","2","1:30","2:30","0.26","5:47","150","167","0","0","156","1.11","21","23.0","2:45","239","1:30","5:47"
"","2","Run","3","1:00","3:30","0.33","3:04","156","172","0","0","181","1.81","14","24.0","2:34","185","1:00","3:04"
"","","Rest","4","1:30","5:00","0.27","5:36","158","174","0","0","147","1.22","22","23.0","3:22","181","1:29","5:32"
"","3","Run","5","1:00","6:00","0.36","2:46","159","174","0","0","169","2.14","14","23.0","2:31","185","0:57","2:38"
"","","Rest","6","1:30","7:30","0.23","6:24","158","175","1","0","140","1.12","22","22.0","2:42","231","1:25","6:03"
"","4","Run","7","1:00","8:30","0.35","2:49","156","172","2","2","172","2.07","14","22.0","2:39","185","1:00","2:49"
"","","Rest","8","1:30","10:00","0.25","6:01","161","174","0","0","126","1.32","22","22.0","2:45","183","1:30","6:01"
"","5","Run","9","1:00","11:00","0.32","3:08","157","172","0","0","167","1.91","14","23.0","2:32","183","1:00","3:08"
"","","Rest","10","1:30","12:30","0.28","5:26","158","174","1","1","136","1.35","21","23.0","3:27","175","1:30","5:26"
"","6","Run","11","1:00","13:30","0.35","2:50","159","173","2","1","165","2.14","14","23.0","2:36","185","1:00","2:50"
"","","Rest","12","1:30","15:00","0.23","6:38","158","174","2","2","132","1.15","21","22.0","2:41","229","1:17","5:40"
"","7","Run","13","2:22.3","17:22","0.07","35:04","115","137","0","0","16","1.77","10","24.0","7:30","137","0:49","12:04"
"","Summary","--","--","17:22","17:22","3.64","4:46","151","175","8","7","133","1.57","220","22.9","2:31","239","15:27","4:15"
