"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:51.8","4:51.8","1.00","4:52","127","137","8","12","162","1.27","39","18.0","3:41","172","4:51.8","4:52"
"2","4:15.8","9:07.6","1.00","4:16","135","139","7","2","161","1.46","38","14.0","3:55","169","4:15","4:15"
"3","4:04.6","13:12","1.00","4:05","137","140","2","2","160","1.54","35","13.0","3:40","163","4:04.6","4:05"
"4","4:07.8","17:20","1.00","4:08","140","145","6","2","160","1.51","36","11.0","3:58","163","4:07.8","4:08"
"5","4:00.5","21:21","1.00","4:01","137","144","6","4","159","1.57","31","10.0","3:51","169","3:58","3:58"
"6","4:06.4","25:27","1.00","4:06","142","145","2","1","160","1.52","33","8.0","3:30","167","4:06.4","4:06"
"7","4:07.6","29:35","1.00","4:08","143","150","3","1","160","1.52","34","8.0","3:46","165","4:07","4:07"
"8","4:08.4","33:43","1.00","4:08","145","148","3","6","161","1.50","38","7.0","3:53","165","4:08.4","4:08"
"9","0:01.6","33:45","0.01","5:14","145","145","0","0","161","1.19","0","7.0","4:10","161","0:01","3:14"
"Summary","33:45","33:45","8.01","4:13","138","150","37","31","160","1.48","284","11.3","3:30","172","33:40","4:12"
