"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","0:03.0","0:03.0","0.00","24:53","165","165","0","0","105","0.38","0","17.0","12:56","105","0:02","16:30"
"2","0:15.1","0:18.1","0.03","8:46","162","165","2","0","116","0.98","2","17.0","5:19","154","0:15.1","8:46"
"3","0:46.7","1:04.8","0.22","3:37","144","158","2","0","164","1.68","8","17.0","2:10","183","0:46","3:34"
"4","0:56.9","2:01.7","0.13","7:29","124","132","0","3","143","0.94","8","16.0","2:18","183","0:56.9","7:29"
"5","0:43.4","2:45.1","0.20","3:40","147","153","7","6","146","1.87","8","16.0","2:03","189","0:43.4","3:40"
"6","0:50.2","3:35.3","0.15","5:36","150","153","1","1","150","1.19","10","16.0","2:18","189","0:50","5:35"
"7","0:45.5","4:20.8","0.21","3:35","136","145","3","5","168","1.66","7","16.0","2:10","189","0:45","3:33"
"8","1:55.6","6:16.4","0.37","5:13","137","157","9","7","142","1.35","19","16.0","2:07","187","1:55.6","5:13"
"9","0:51.8","7:08.2","0.12","7:12","157","178","0","0","130","1.07","10","16.0","4:23","169","0:51.8","7:12"
"10","0:44.6","7:52.9","0.20","3:38","154","165","1","1","166","1.66","9","16.0","2:08","187","0:44","3:35"
"11","1:12.3","9:05.2","0.23","5:19","142","149","1","1","155","1.22","12","16.0","2:13","191","1:12.3","5:19"
"12","0:42.7","9:47.9","0.19","3:44","134","138","3","2","167","1.60","6","16.0","2:03","191","0:42","3:40"
"13","1:07.2","10:55","0.20","5:32","157","177","1","2","145","1.25","13","16.0","2:04","194","1:07.2","5:32"
"14","0:42.9","11:38","0.21","3:23","148","164","4","2","170","1.74","7","16.0","1:59","196","0:42","3:19"
"15","1:30.8","13:09","0.12","12:16","151","179","0","2","75","1.08","16","16.0","2:01","196","1:06","8:55"
"16","0:01.6","13:10","0.01","2:30","138","139","0","0","117","3.42","0","17.0","5:51","117","0:01.6","2:30"
"Summary","13:10","13:10","2.59","5:05","145","179","34","33","142","1.35","135","16.1","1:59","196","12:41","4:54"
