"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:07.9","4:07.9","1.00","4:08","126","135","1","0","162","1.50","33","23.0","3:56","169","4:07.9","4:08"
"2","4:12.0","8:19.9","1.00","4:12","137","143","1","1","161","1.48","38","19.0","3:46","165","4:12","4:12"
"3","4:00.7","12:21","1.00","4:01","141","143","1","1","161","1.55","36","18.0","3:55","169","4:00.7","4:01"
"4","4:08.1","16:29","1.00","4:08","142","148","0","0","161","1.51","37","17.0","4:00","169","4:08","4:08"
"5","4:04.3","20:33","1.00","4:04","145","150","2","0","160","1.54","39","16.0","4:00","165","4:04","4:04"
"6","4:23.2","24:56","1.00","4:23","145","147","1","2","160","1.43","41","15.0","3:57","165","4:23.2","4:23"
"7","4:02.2","28:58","1.00","4:02","146","153","0","1","160","1.55","39","14.0","3:38","163","4:02","4:02"
"8","4:02.1","33:01","1.00","4:02","147","151","0","2","160","1.55","38","13.0","3:59","165","4:02","4:02"
"9","0:06.3","33:07","0.03","4:10","147","147","0","0","158","1.52","0","13.0","3:59","159","0:05","3:20"
"Summary","33:07","33:07","8.03","4:08","141","153","7","8","160","1.51","301","16.9","3:38","169","33:05","4:07"
