"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:40.2","3:40.2","1.00","3:40","157","166","20","0","165","1.65","42","14.0","2:59","183","3:38","3:38"
"2","3:40.1","7:20.3","1.00","3:40","168","171","19","6","164","1.66","46","11.0","3:26","169","3:40","3:40"
"3","3:45.9","11:06","1.00","3:46","170","172","16","6","164","1.62","48","10.0","3:18","169","3:45.9","3:46"
"4","3:39.2","14:45","1.00","3:39","166","172","12","25","163","1.68","45","10.0","3:23","169","3:39","3:39"
"5","3:33.4","18:19","1.00","3:33","163","166","3","11","163","1.73","43","10.0","3:31","169","3:33.4","3:33"
"6","2:52.2","21:11","0.81","3:34","165","167","0","22","163","1.72","35","10.0","3:19","167","2:51","3:32"
"7","3:41.9","24:53","1.00","3:42","169","172","25","1","164","1.65","46","10.0","3:33","172","3:41.9","3:42"
"8","3:37.4","28:30","1.00","3:37","172","174","14","6","163","1.69","46","10.0","3:24","169","3:37.4","3:37"
"9","3:23.2","31:53","0.89","3:48","173","175","22","12","162","1.62","43","10.0","3:39","165","3:22","3:47"
"10","3:47.2","35:40","1.00","3:47","168","174","13","20","163","1.62","46","12.0","3:31","169","3:47.2","3:47"
"11","3:28.6","39:09","1.00","3:29","169","171","5","18","163","1.77","43","13.0","3:10","167","3:28.6","3:29"
"12","2:56.8","42:06","0.87","3:23","167","170","0","23","162","1.82","35","13.0","3:07","169","2:56","3:22"
"Summary","42:06","42:06","11.57","3:38","167","175","150","150","163","1.68","518","11.1","2:59","183","42:00","3:38"
