"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:32.2","4:32.2","1.00","4:32","116","131","5","17","159","1.39","30","18.0","4:06","175","4:31","4:31"
"2","0:55.6","5:27.9","0.22","4:16","131","132","0","2","160","1.46","8","15.0","4:12","163","0:55","4:13"
"3","4:06.0","9:33.9","1.00","4:06","138","143","2","4","161","1.52","37","14.0","3:57","167","4:06.0","4:06"
"4","4:15.4","13:49","1.00","4:15","144","147","9","0","159","1.48","42","12.0","3:58","163","4:15","4:15"
"5","4:09.5","17:59","1.00","4:10","142","151","5","17","158","1.52","39","11.0","3:49","163","4:09.5","4:10"
"6","4:04.0","22:03","1.00","4:04","136","139","0","34","159","1.55","31","10.0","3:33","163","4:04.0","4:04"
"7","4:04.7","26:07","1.00","4:05","138","144","0","24","159","1.54","31","10.0","3:37","165","4:04.7","4:05"
"8","4:24.3","30:32","1.00","4:24","146","152","12","0","159","1.43","41","10.0","4:10","167","4:24","4:24"
"9","4:21.9","34:54","1.00","4:22","142","151","3","4","160","1.43","35","11.0","3:58","167","4:21","4:21"
"10","4:05.7","38:59","1.00","4:06","144","152","0","12","161","1.51","33","10.0","3:36","171","4:05.7","4:06"
"11","4:23.2","43:23","1.00","4:23","155","159","26","0","160","1.43","46","10.0","4:02","167","4:23","4:23"
"12","4:31.8","47:54","1.00","4:32","157","161","34","0","158","1.40","49","10.0","4:15","161","4:31.8","4:32"
"13","4:10.9","52:05","1.00","4:11","154","161","14","6","158","1.51","42","10.0","4:06","163","4:10.9","4:11"
"14","3:59.7","56:05","1.00","4:00","147","152","0","7","161","1.56","30","10.0","2:40","182","3:59.7","4:00"
"15","3:39.9","59:45","1.00","3:40","160","169","5","2","162","1.68","37","10.0","2:21","186","3:39.9","3:40"
"16","3:01.6","1:02:46","0.83","3:39","169","176","18","2","165","1.66","37","10.0","2:18","189","3:00","3:37"
"Summary","1:02:46","1:02:46","15.05","4:10","145","176","132","130","160","1.50","568","11.2","2:18","189","1:02:41","4:10"
