"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:12.3","5:12.3","1.00","5:12","120","130","3","6","160","1.20","50","27.0","3:53","169","5:12.3","5:12"
"2","2:56.7","8:09.0","0.70","4:14","131","134","3","1","161","1.47","33","25.0","3:53","165","2:56","4:13"
"3","4:13.1","12:22","1.00","4:13","135","139","2","0","161","1.48","48","25.0","3:55","165","4:13.1","4:13"
"4","4:10.7","16:33","1.00","4:11","137","142","3","3","161","1.49","46","25.0","3:51","163","4:10","4:10"
"5","4:11.4","20:44","1.00","4:11","139","143","1","0","159","1.50","46","25.0","3:49","165","4:11","4:11"
"6","4:09.6","24:54","1.00","4:10","140","143","1","3","159","1.51","46","25.0","3:59","163","4:09.6","4:10"
"7","4:19.1","29:13","1.00","4:19","142","146","2","2","159","1.46","51","24.0","3:46","165","4:19","4:19"
"8","4:02.0","33:15","1.00","4:02","147","151","2","1","160","1.55","51","24.0","3:55","165","4:02","4:02"
"9","4:03.6","37:18","1.00","4:04","146","150","1","2","160","1.54","50","24.0","3:39","165","4:03","4:03"
"10","1:45.4","39:04","0.42","4:08","147","150","0","1","161","1.51","21","24.0","4:04","165","1:45","4:07"
"11","3:55.4","42:59","0.98","4:00","148","150","3","3","160","1.56","49","24.0","4:02","167","3:55.4","4:00"
"12","3:58.4","46:58","1.00","3:58","148","151","1","4","161","1.56","49","24.0","3:41","165","3:58","3:58"
"13","3:31.5","50:29","0.82","4:18","149","153","5","3","161","1.45","44","23.0","3:44","167","3:31.5","4:18"
"Summary","50:29","50:29","11.92","4:14","140","153","28","30","160","1.47","584","24.6","3:39","169","50:26","4:14"
