"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:35.2","4:35.2","1.00","4:35","119","130","0","12","155","1.41","33","21.0","3:49","205","4:33","4:33"
"2","4:16.0","8:51.2","0.98","4:21","136","141","2","4","159","1.44","38","18.0","4:06","167","4:15","4:20"
"3","4:24.9","13:16","1.00","4:26","144","148","8","0","158","1.43","43","16.0","4:07","161","4:24.9","4:26"
"4","4:12.7","17:29","1.00","4:14","142","149","5","19","159","1.49","38","14.0","4:05","163","4:12.7","4:14"
"5","4:25.6","21:55","1.00","4:26","141","151","23","2","157","1.44","39","13.0","4:11","170","4:25.6","4:26"
"6","4:21.3","26:16","1.00","4:21","140","144","0","9","159","1.45","33","13.0","4:04","165","4:21","4:21"
"7","4:22.9","30:39","1.00","4:23","141","146","3","3","158","1.44","32","12.0","4:09","161","4:22.9","4:23"
"8","4:27.7","35:06","1.00","4:28","147","155","16","0","158","1.42","41","11.0","4:13","163","4:27.7","4:28"
"9","0:10.3","35:17","0.04","4:22","153","153","0","0","160","1.44","1","11.0","4:25","160","0:09","3:50"
"Summary","35:17","35:17","8.01","4:24","139","155","56","49","158","1.44","298","14.8","3:49","205","35:12","4:24"
