"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:18.5","4:18.5","1.00","4:18","126","135","3","2","162","1.43","34","21.0","3:58","173","4:18.5","4:18"
"2","4:01.7","8:20.2","1.00","4:02","138","144","4","4","162","1.53","37","15.0","3:55","169","4:01","4:01"
"3","4:13.9","12:34","1.00","4:14","141","144","2","5","161","1.47","37","12.0","3:41","165","4:13.9","4:14"
"4","4:14.1","16:48","1.00","4:14","139","149","17","8","159","1.48","35","11.0","3:58","163","4:14","4:14"
"5","4:07.9","20:56","1.00","4:08","132","148","7","18","157","1.54","30","11.0","3:37","167","4:07.9","4:08"
"6","4:12.0","25:08","1.00","4:12","137","140","5","0","160","1.49","31","10.0","3:58","163","4:12","4:12"
"7","4:07.3","29:15","1.00","4:07","141","148","6","3","159","1.53","32","9.0","4:00","163","4:07","4:07"
"8","4:03.0","33:18","1.00","4:03","138","146","3","1","158","1.56","28","9.0","3:39","169","4:03.0","4:03"
"9","0:02.9","33:21","0.02","3:08","144","144","0","0","160","1.99","0","9.0","4:04","161","0:02","2:09"
"Summary","33:21","33:21","8.02","4:10","136","149","47","41","160","1.50","264","12.3","3:37","173","33:19","4:09"
