"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:21.1","4:21.1","1.00","4:21","116","133","0","1","159","1.44","38","26.0","3:47","169","4:19","4:19"
"2","4:13.2","8:34.2","1.00","4:13","129","137","4","0","162","1.47","44","24.0","3:48","170","4:13.2","4:13"
"3","4:04.2","12:38","1.00","4:04","134","139","0","1","160","1.53","45","23.0","3:53","165","4:04.2","4:04"
"4","4:15.5","16:54","1.00","4:15","140","144","9","1","160","1.47","49","23.0","3:38","163","4:14","4:14"
"5","4:02.2","20:56","1.00","4:02","143","149","4","2","161","1.54","49","22.0","3:48","165","4:02.2","4:02"
"6","4:14.5","25:11","1.00","4:15","141","147","11","3","160","1.47","47","23.0","4:02","239","4:14.5","4:15"
"7","4:20.1","29:31","1.00","4:20","142","145","11","2","159","1.45","45","22.0","3:51","165","4:20","4:20"
"8","4:01.4","33:32","1.00","4:01","139","143","0","14","161","1.55","39","22.0","3:50","165","4:01.4","4:01"
"9","3:59.3","37:31","1.00","3:59","141","145","0","13","161","1.55","40","22.0","3:50","165","3:58","3:58"
"10","4:07.8","41:39","1.00","4:08","141","146","1","6","159","1.52","39","22.0","3:50","165","4:07.8","4:08"
"11","4:06.4","45:46","1.00","4:06","134","143","0","2","159","1.53","34","24.0","3:46","173","4:06","4:06"
"12","1:59.5","47:45","0.50","3:57","140","143","1","1","161","1.57","19","23.0","3:46","165","1:59","3:56"
"Summary","47:45","47:45","11.50","4:09","136","149","42","46","160","1.50","488","23.0","3:38","239","47:39","4:09"
