"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:13.0","4:13.0","1.00","4:13","95","140","31","2","156","1.52","19","25.0","3:26","171","4:12","4:12"
"2","3:47.5","8:00.5","1.00","3:47","137","160","9","18","158","1.67","37","22.0","3:08","169","3:47.5","3:47"
"3","4:11.0","12:11","1.00","4:11","155","161","17","6","158","1.51","50","20.0","3:26","173","4:11.0","4:11"
"4","3:32.6","15:44","1.00","3:33","127","158","0","25","157","1.80","25","20.0","3:12","172","3:32","3:32"
"5","3:48.9","19:33","1.00","3:49","142","161","0","18","158","1.66","37","19.0","3:33","165","3:48.9","3:49"
"6","3:48.3","23:21","1.00","3:48","156","158","1","1","156","1.69","46","19.0","3:36","159","3:48","3:48"
"7","3:45.7","27:07","1.00","3:46","135","158","6","5","155","1.72","29","19.0","3:39","165","3:44","3:44"
"8","4:13.6","31:20","1.00","4:14","144","165","23","0","159","1.49","36","21.0","3:44","167","4:13","4:13"
"9","4:00.0","35:20","1.00","4:00","137","162","8","7","159","1.57","32","20.0","3:40","166","4:00.0","4:00"
"10","3:21.1","38:42","0.87","3:51","81","106","5","26","159","1.63","6","19.0","3:00","165","3:21","3:51"
"Summary","38:42","38:42","9.87","3:55","131","165","100","102","157","1.62","317","20.5","3:00","173","38:37","3:55"
