"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.35","2:53","125","138","1","1","165","2.10","8","24.0","2:49","177","1:00","2:53"
"","","Rest","2","1:30","2:30","0.30","4:58","137","141","0","1","151","1.33","15","24.0","2:42","177","1:30","4:58"
"","2","Run","3","1:00","3:30","0.36","2:47","142","146","2","2","176","2.04","11","23.0","2:34","183","1:00","2:47"
"","","Rest","4","1:30","5:00","0.24","6:18","140","147","0","0","143","1.11","16","24.0","2:40","177","1:30","6:18"
"","3","Run","5","1:00","6:00","0.35","2:49","141","146","3","4","165","2.14","10","23.0","2:39","177","1:00","2:49"
"","","Rest","6","1:30","7:30","0.30","4:56","140","146","0","0","156","1.30","15","24.0","2:44","231","1:30","4:56"
"","4","Run","7","1:00","8:30","0.34","2:58","145","147","5","3","172","1.95","11","24.0","2:40","177","1:00","2:58"
"","","Rest","8","1:30","10:00","0.29","5:10","140","145","2","2","146","1.32","15","23.0","2:53","177","1:30","5:10"
"","5","Run","9","1:00","11:00","0.36","2:47","143","146","0","4","173","2.09","10","23.0","2:32","175","1:00","2:47"
"","","Rest","10","1:30","12:30","0.26","5:43","140","146","1","0","131","1.34","14","23.0","2:44","175","1:30","5:43"
"","6","Run","11","4:11.4","16:41","0.49","8:37","119","135","2","2","108","1.07","24","24.0","4:10","221","3:38","7:29"
"","Summary","--","--","16:41","16:41","3.64","4:35","134","147","17","20","144","1.46","149","23.6","2:32","231","16:08","4:26"
