"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:50.5","4:50.5","1.00","4:51","126","136","2","1","160","1.29","39","18.0","4:24","176","4:47","4:47"
"2","4:32.4","9:23.0","1.00","4:32","137","142","5","0","161","1.36","41","12.0","4:09","165","4:32.4","4:32"
"3","4:19.5","13:43","1.00","4:20","142","149","18","0","160","1.45","40","9.0","4:19","169","4:19","4:19"
"4","4:03.7","17:46","1.00","4:04","139","144","3","5","160","1.54","34","7.0","3:52","165","4:03.7","4:04"
"5","4:26.8","22:13","1.00","4:27","136","144","2","1","162","1.39","33","6.0","4:31","171","4:26.8","4:27"
"6","4:38.7","26:52","1.00","4:39","141","150","1","1","159","1.35","38","6.0","4:12","165","4:38.7","4:39"
"7","4:29.8","31:22","1.00","4:30","137","146","9","3","158","1.41","32","6.0","4:42","167","4:28","4:28"
"8","4:22.6","35:44","1.00","4:23","137","142","3","11","160","1.42","31","5.0","4:01","167","4:22.6","4:23"
"9","4:17.2","40:01","1.00","4:17","135","143","1","19","155","1.51","28","5.0","3:38","165","4:17","4:17"
"10","4:09.1","44:10","1.00","4:09","140","143","3","0","158","1.52","27","4.0","4:09","163","4:09","4:09"
"11","4:06.2","48:17","1.00","4:06","141","146","7","4","158","1.54","27","4.0","3:48","161","4:06","4:06"
"12","4:21.2","52:38","1.00","4:21","144","147","1","3","159","1.45","30","4.0","4:09","165","4:21","4:21"
"13","4:02.0","56:40","1.00","4:02","146","150","3","2","159","1.56","34","4.0","3:47","163","4:02","4:02"
"14","4:05.6","1:00:45","1.00","4:06","148","156","2","4","159","1.53","36","4.0","3:58","165","4:05.6","4:06"
"15","4:10.0","1:04:56","1.00","4:10","147","152","9","6","159","1.51","35","4.0","3:53","161","4:10","4:10"
"16","2:46.8","1:07:42","0.67","4:10","146","152","0","1","159","1.51","21","4.0","4:02","161","2:46","4:08"
"Summary","1:07:42","1:07:42","15.67","4:19","140","156","69","62","159","1.45","526","6.6","3:38","176","1:07:35","4:19"
