"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:27.2","4:27.2","1.00","4:27","127","136","3","1","159","1.41","48","28.0","4:04","172","4:26","4:26"
"2","4:30.9","8:58.1","1.00","4:31","137","140","2","2","161","1.38","53","26.0","4:05","165","4:30.9","4:31"
"3","4:18.3","13:16","1.00","4:18","137","141","2","0","161","1.44","49","25.0","3:53","165","4:18.3","4:18"
"4","4:10.8","17:27","1.00","4:11","139","143","0","0","162","1.48","47","25.0","4:10","167","4:10","4:10"
"5","4:10.4","21:38","1.00","4:10","140","142","3","0","161","1.49","45","25.0","4:06","165","4:10","4:10"
"6","4:39.1","26:17","1.00","4:39","141","145","0","0","161","1.33","50","25.0","4:05","167","4:39","4:39"
"7","4:11.0","30:28","1.00","4:11","139","142","1","3","161","1.48","42","25.0","4:07","165","4:11.0","4:11"
"8","4:17.1","34:45","1.00","4:17","141","148","1","2","162","1.44","44","25.0","4:04","167","4:17","4:17"
"9","0:03.5","34:48","0.01","3:57","139","139","0","0","162","1.56","0","26.0","4:25","163","0:03.5","3:57"
"Summary","34:48","34:48","8.01","4:21","138","148","12","9","161","1.43","378","25.5","3:53","172","34:46","4:20"
