"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:09.5","4:09.5","0.95","4:21","116","130","0","17","158","1.45","35","25.0","3:57","169","4:08","4:20"
"2","3:57.9","8:07.4","0.99","4:00","136","142","2","4","159","1.57","43","23.0","3:41","165","3:57","3:59"
"3","3:58.4","12:06","0.99","4:01","145","149","7","0","159","1.57","49","22.0","3:44","163","3:58.4","4:01"
"4","3:49.6","15:55","0.99","3:53","144","153","6","16","160","1.62","44","20.0","3:40","165","3:49","3:52"
"5","4:12.1","20:08","0.95","4:27","142","150","20","1","159","1.42","47","20.0","3:47","169","4:12.1","4:27"
"6","4:06.2","24:14","0.97","4:13","141","144","0","11","159","1.50","38","20.0","3:51","163","4:06","4:13"
"7","4:25.9","28:40","1.00","4:26","144","147","8","2","159","1.42","47","21.0","3:53","163","4:25.9","4:26"
"8","4:29.5","33:09","1.00","4:29","141","144","0","7","160","1.39","40","21.0","3:56","165","4:29","4:29"
"9","4:35.6","37:45","1.00","4:36","140","144","5","2","160","1.36","38","20.0","4:22","168","4:35.6","4:36"
"10","2:59.9","40:45","0.66","4:34","145","151","12","0","159","1.37","28","20.0","4:19","163","2:59","4:33"
"Summary","40:45","40:45","9.50","4:17","139","153","60","61","159","1.46","409","21.2","3:40","169","40:40","4:17"
