"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","6:19.6","6:19.6","1.98","3:12","169","179","7","4","169","1.85","79","9.0","2:50","186","6:17","3:10"
"2","4:01.1","10:21","0.50","8:03","126","179","9","10","114","1.09","28","8.0","3:07","175","3:58","7:57"
"3","6:14.6","16:35","2.00","3:08","134","146","7","5","168","1.90","51","7.0","2:44","183","6:14.6","3:08"
"4","3:59.4","20:35","0.37","10:47","129","185","4","7","81","1.14","26","7.0","3:05","177","3:11","8:37"
"5","6:03.4","26:38","1.98","3:03","137","162","9","7","171","1.92","59","6.0","2:41","183","6:03.4","3:03"
"6","4:01.0","30:39","0.35","11:20","125","167","1","3","64","1.37","23","6.0","3:05","240","2:38","7:26"
"7","5:58.4","36:38","2.00","3:00","139","160","11","7","171","1.96","57","6.0","2:25","181","5:58","2:59"
"8","11:38","48:16","0.53","21:45","126","234","2","8","26","1.78","65","7.0","3:03","177","4:23","8:12"
"9","13:09","1:01:25","2.64","4:59","144","163","14","10","160","1.25","115","8.0","4:17","171","13:09","4:59"
"Summary","1:01:25","1:01:25","12.35","4:58","138","234","63","61","124","1.60","503","7.2","2:25","240","51:52","4:12"
