"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","5:01.4","5:01.4","1.00","5:01","118","126","1","2","159","1.25","45","25.0","4:37","172","5:01.4","5:01"
"2","4:26.6","9:28.0","1.00","4:27","132","144","9","7","161","1.39","47","24.0","4:01","167","4:26.6","4:27"
"3","4:01.4","13:29","1.00","4:01","141","144","2","0","160","1.55","42","23.0","3:49","163","4:01","4:01"
"4","0:03.4","13:33","0.02","3:43","143","143","0","0","161","1.67","0","23.0","3:53","161","0:03","3:14"
"5","0:01.8","13:35","0.01","3:24","143","143","0","0","161","1.83","0","23.0","3:53","161","0:01","1:50"
"Summary","13:35","13:35","3.02","4:29","129","144","12","9","160","1.39","134","24.1","3:49","172","13:33","4:29"
