"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.34","2:54","123","131","3","1","163","2.12","7","25.0","2:47","175","1:00","2:54"
"","","Rest","2","1:30","2:30","0.28","5:19","129","135","0","0","156","1.20","13","24.0","2:46","229","1:30","5:19"
"","2","Run","3","1:00","3:30","0.37","2:44","132","135","3","3","176","2.08","9","23.0","2:32","182","1:00","2:44"
"","","Rest","4","1:30","5:00","0.28","5:23","130","137","0","0","137","1.36","13","23.0","2:29","226","1:30","5:23"
"","3","Run","5","1:00","6:00","0.37","2:42","137","142","1","0","175","2.12","10","22.0","2:32","182","1:00","2:42"
"","","Rest","6","1:30","7:30","0.29","5:09","140","143","1","1","153","1.27","15","22.0","2:31","182","1:30","5:09"
"","4","Run","7","1:00","8:30","0.35","2:50","142","148","0","0","174","2.04","10","22.0","2:34","179","1:00","2:50"
"","","Rest","8","1:30","10:00","0.25","5:54","145","153","0","2","124","1.36","16","22.0","2:46","174","1:30","5:54"
"","5","Run","9","1:00","11:00","0.35","2:50","132","139","0","0","175","2.01","8","22.0","2:31","180","1:00","2:50"
"","","Rest","10","1:21.0","12:21","0.15","9:02","120","128","0","0","123","0.90","8","22.0","2:46","175","1:20","8:55"
"","Summary","--","--","12:21","12:21","3.04","4:04","133","153","8","7","153","1.57","109","22.7","2:29","229","12:20","4:03"
