"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:55.6","3:55.6","1.00","3:56","134","147","1","1","165","1.54","44","28.0","3:30","172","3:55.6","3:56"
"2","3:35.2","7:30.8","1.00","3:35","151","157","0","0","167","1.67","51","26.0","3:24","170","3:35","3:35"
"3","3:27.1","10:58","1.00","3:27","161","166","1","0","168","1.73","53","24.0","3:20","170","3:27","3:27"
"4","3:25.5","14:23","1.00","3:26","166","171","2","0","168","1.73","54","23.0","3:20","172","3:25","3:25"
"5","3:30.5","17:54","1.00","3:30","168","171","2","0","169","1.69","56","24.0","3:16","172","3:30.5","3:30"
"6","3:21.8","21:16","1.00","3:22","170","173","0","0","170","1.75","54","24.0","3:08","175","3:21.8","3:22"
"7","3:21.7","24:37","1.00","3:22","172","174","1","0","170","1.74","54","24.0","3:03","175","3:20","3:20"
"8","3:32.3","28:10","1.00","3:32","170","174","1","1","168","1.68","57","24.0","3:07","172","3:32.3","3:32"
"9","3:16.7","31:26","1.00","3:17","171","173","0","2","169","1.80","52","24.0","3:11","173","3:16","3:16"
"10","3:18.8","34:45","1.00","3:19","171","174","0","4","168","1.79","53","24.0","3:09","172","3:18.8","3:19"
"11","3:18.4","38:04","1.00","3:18","171","173","0","2","169","1.79","53","24.0","2:58","172","3:18","3:18"
"12","3:23.7","41:27","1.00","3:24","172","174","0","1","169","1.75","54","24.0","3:10","173","3:23.7","3:24"
"13","0:05.6","41:33","0.03","3:38","171","171","0","0","169","1.63","1","25.0","3:29","170","0:05","3:16"
"Summary","41:33","41:33","12.03","3:27","164","174","9","12","168","1.72","636","24.5","2:58","175","41:29","3:27"
