"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","","Warm Up","1","1:08.1","1:08.1","0.24","4:47","123","137","4","0","143","1.46","7","9.0","4:46","165","1:01","4:18"
"","1","Run","2","0:20","1:28.1","0.11","2:58","141","145","0","3","172","1.96","3","8.0","2:54","180","0:20","2:58"
"","","Rest","3","0:40","2:08.1","0.15","4:27","145","148","0","1","157","1.43","7","7.0","2:54","180","0:40","4:27"
"","2","Run","4","0:20","2:28.1","0.11","2:55","139","144","0","0","172","1.99","3","7.0","2:33","182","0:20","2:55"
"","","Rest","5","0:40","3:08.1","0.15","4:29","145","149","0","0","158","1.41","7","6.0","2:34","180","0:40","4:29"
"","3","Run","6","0:20","3:28.1","0.09","3:41","140","146","0","0","173","1.57","3","6.0","2:56","180","0:20","3:41"
"","","Rest","7","0:40","4:08.1","0.14","4:46","147","151","1","1","159","1.32","7","6.0","3:27","182","0:40","4:46"
"","4","Run","8","0:20","4:28.1","0.11","3:01","143","150","0","0","159","2.09","3","6.0","2:37","182","0:20","3:01"
"","","Rest","9","0:40","5:08.1","0.14","4:51","150","153","2","2","158","1.31","7","5.0","2:37","183","0:40","4:51"
"","5","Run","10","0:20","5:28.1","0.12","2:45","147","153","3","0","176","2.06","3","5.0","2:28","183","0:20","2:45"
"","","Rest","11","0:40","6:08.1","0.09","7:41","150","156","0","2","133","0.98","7","5.0","2:34","183","0:40","7:41"
"","6","Run","12 - 14","8:06.9","14:15","1.85","4:23","137","145","10","5","151","1.45","65","4.6","3:44","171","7:46","4:12"
"","Summary","--","--","14:15","14:15","3.30","4:19","139","156","20","14","153","1.47","122","5.5","2:28","183","13:47","4:11"
