"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:17.0","4:17.0","1.00","4:17","133","143","5","0","165","1.41","38","11.0","3:53","217","4:17","4:17"
"2","4:08.5","8:25.5","1.00","4:09","141","145","3","0","165","1.47","39","5.0","3:43","170","4:08.5","4:08"
"3","4:13.6","12:39","1.00","4:14","138","142","5","1","163","1.45","37","2.0","3:19","170","4:13.6","4:14"
"4","4:13.5","16:53","1.00","4:13","137","139","2","1","162","1.46","35","1.0","4:04","169","4:13","4:13"
"5","4:14.4","21:07","1.00","4:14","137","142","0","0","162","1.46","34","0","4:06","172","4:14","4:14"
"6","4:12.9","25:20","1.00","4:13","139","143","3","0","162","1.46","33","0","4:01","170","4:12.9","4:13"
"7","4:19.0","29:39","0.08","56:30","101","137","0","4","13","1.39","10","1.0","4:09","161","0:28","6:07"
"8","4:15.0","33:54","1.00","4:15","130","136","1","5","159","1.48","28","3.0","4:01","173","4:14","4:14"
"9","4:08.0","38:02","1.00","4:08","136","140","1","1","162","1.50","31","3.0","4:05","171","4:08.0","4:08"
"10","4:03.8","42:06","1.00","4:04","139","142","5","1","161","1.53","30","2.0","3:56","167","4:03.8","4:04"
"11","3:56.6","46:02","1.00","3:57","139","144","1","3","162","1.57","29","1.0","3:46","172","3:56.6","3:57"
"12","3:58.9","50:01","1.00","3:59","141","144","1","2","164","1.53","29","1.0","3:41","170","3:58.9","3:59"
"13","3:53.9","53:55","1.00","3:54","143","146","1","1","161","1.59","31","3.0","3:37","167","3:53.9","3:54"
"14","0:04.2","53:59","0.02","3:02","144","144","0","0","163","2.02","0","3.0","3:32","163","0:03","2:10"
"Summary","53:59","53:59","12.10","4:28","135","146","28","20","150","1.48","404","2.6","3:19","217","50:05","4:08"
