"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:30.4","4:30.4","1.00","4:30","124","137","1","0","160","1.39","45","24.0","3:41","171","4:28","4:28"
"2","4:17.6","8:48.1","1.00","4:18","137","141","2","1","163","1.43","51","21.0","4:01","169","4:17","4:17"
"3","4:19.6","13:08","1.00","4:20","126","141","1","1","163","1.42","41","18.0","4:12","169","4:19.6","4:20"
"4","4:22.4","17:30","1.00","4:22","135","141","1","0","163","1.41","47","17.0","4:06","169","4:22","4:22"
"5","4:15.1","21:45","1.00","4:15","137","141","2","0","161","1.46","46","16.0","4:09","165","4:15.1","4:15"
"6","4:17.9","26:03","1.00","4:18","138","141","2","0","161","1.44","45","15.0","4:13","165","4:17.9","4:18"
"7","4:13.8","30:17","1.00","4:14","140","143","0","0","162","1.46","45","15.0","3:53","169","4:13","4:13"
"8","3:06.4","33:23","0.77","4:01","140","142","0","0","162","1.53","33","16.0","3:48","165","3:06.4","4:01"
"9","4:30.4","37:54","1.00","4:30","128","136","0","0","159","1.40","38","19.0","4:19","167","4:29","4:29"
"10","4:17.5","42:11","1.00","4:18","136","139","1","1","158","1.48","42","17.0","3:59","169","4:17.5","4:18"
"11","4:19.5","46:31","1.00","4:19","135","144","0","1","161","1.44","40","17.0","4:04","165","4:19","4:19"
"12","4:16.1","50:47","1.00","4:16","138","159","0","3","161","1.45","42","18.0","4:09","169","4:16","4:16"
"13","4:07.4","54:54","1.00","4:07","140","144","1","2","162","1.50","40","18.0","3:50","171","4:07","4:07"
"14","4:14.3","59:09","1.00","4:14","140","143","1","1","161","1.46","40","19.0","3:58","169","4:14.3","4:14"
"15","4:04.5","1:03:13","1.00","4:05","143","147","2","2","160","1.53","40","21.0","3:47","167","4:04","4:04"
"16","3:24.7","1:06:38","0.85","4:01","145","147","0","1","161","1.54","34","22.0","3:59","165","3:24.7","4:01"
"Summary","1:06:38","1:06:38","15.62","4:16","136","159","15","14","161","1.46","669","18.3","3:41","171","1:06:31","4:15"
