"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:27.0","3:27.0","1.00","3:27","154","166","3","2","166","1.75","50","23.0","3:16","172","3:27.0","3:27"
"2","3:24.1","6:51.1","1.00","3:24","169","172","10","0","167","1.76","55","23.0","3:07","175","3:23","3:23"
"3","3:27.2","10:18","1.00","3:27","169","173","6","4","166","1.74","55","23.0","3:18","173","3:27","3:27"
"4","3:18.9","13:37","1.00","3:19","169","175","4","16","166","1.82","53","23.0","2:57","172","3:18.9","3:19"
"5","3:15.1","16:52","1.00","3:15","169","173","0","8","167","1.84","52","23.0","3:00","173","3:15.1","3:15"
"6","3:23.1","20:15","1.00","3:23","172","175","1","4","166","1.78","55","24.0","3:09","173","3:23.1","3:23"
"7","3:22.5","23:38","1.00","3:22","173","176","0","0","165","1.79","55","23.0","3:17","172","3:22","3:22"
"8","3:28.3","27:06","1.00","3:28","173","175","1","1","166","1.74","57","23.0","3:11","172","3:28.3","3:28"
"9","3:21.0","30:27","1.00","3:21","172","174","0","2","165","1.81","54","24.0","3:04","170","3:21","3:21"
"10","3:25.3","33:52","1.00","3:25","173","174","0","1","165","1.77","55","24.0","3:20","169","3:24","3:24"
"11","0:03.2","33:56","0.01","4:15","173","173","0","0","164","1.44","0","24.0","3:26","165","0:03","4:00"
"Summary","33:56","33:56","10.01","3:23","169","176","25","39","166","1.78","541","23.3","2:57","175","33:52","3:23"
