"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.33","3:05","142","162","4","6","168","1.94","11","25.0","2:50","191","1:00","3:05"
"","","Rest","2","1:30","2:30","0.30","4:58","153","165","0","5","160","1.26","21","24.0","3:03","177","1:30","4:58"
"","2","Run","3","1:00","3:30","0.36","2:48","154","167","0","5","176","2.03","13","23.0","2:43","181","1:00","2:48"
"","","Rest","4","1:30","5:00","0.28","5:24","153","167","0","6","152","1.22","20","23.0","2:43","173","1:30","5:24"
"","3","Run","5","1:00","6:00","0.35","2:49","155","172","1","2","178","1.99","13","23.0","2:40","181","1:00","2:49"
"","","Rest","6","1:30","7:30","0.26","5:47","155","173","0","5","137","1.26","20","22.0","2:39","181","1:30","5:47"
"","4","Run","7","1:00","8:30","0.35","2:53","154","169","0","4","174","1.99","13","22.0","2:48","177","1:00","2:53"
"","","Rest","8","1:30","10:00","0.29","5:13","153","169","0","2","150","1.28","20","22.0","2:55","173","1:30","5:13"
"","5","Run","9","1:00","11:00","0.35","2:54","155","169","0","3","175","1.97","13","22.0","2:42","181","1:00","2:54"
"","","Rest","10","1:30","12:30","0.22","6:45","152","172","0","4","131","1.13","19","22.0","2:47","173","1:30","6:45"
"","6","Run","11","1:00","13:30","0.34","2:57","150","168","0","3","166","2.04","12","22.0","2:30","181","1:00","2:57"
"","","Rest","12","0:53.5","14:23","0.11","8:11","161","171","0","3","145","0.85","12","22.0","2:52","179","0:53","8:07"
"","7","Run","13 - 16","14:32","28:55","3.60","4:02","141","147","3","73","162","1.53","131","23.5","3:27","169","14:31","4:02"
"","Summary","--","--","28:55","28:55","7.12","4:04","147","173","8","119","159","1.53","318","23.1","2:30","191","28:54","4:03"
