"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:15.1","4:15.1","1.00","4:15","125","138","0","1","157","1.50","39","23.0","3:38","172","4:15.1","4:15"
"2","4:15.1","8:30.2","1.00","4:15","135","141","3","0","156","1.50","45","22.0","4:10","159","4:15","4:15"
"3","4:03.1","12:33","1.00","4:03","137","141","0","1","158","1.56","41","21.0","3:44","163","4:03","4:03"
"4","4:14.6","16:48","1.00","4:15","137","141","4","0","157","1.50","42","20.0","3:58","163","4:14.6","4:15"
"5","4:04.6","20:53","1.00","4:05","139","145","7","2","158","1.56","40","20.0","3:42","163","4:04","4:04"
"6","4:13.0","25:06","1.00","4:13","135","145","12","1","156","1.52","37","21.0","3:42","173","4:13.0","4:13"
"7","4:16.3","29:22","1.00","4:16","137","144","11","1","158","1.48","41","21.0","3:42","165","4:16","4:16"
"8","3:54.9","33:17","1.00","3:55","140","146","0","12","159","1.61","37","20.0","3:43","161","3:54","3:54"
"9","3:49.8","37:07","1.00","3:50","138","141","0","16","159","1.64","33","20.0","3:43","165","3:49.8","3:50"
"10","3:56.2","41:03","1.00","3:56","141","147","0","4","157","1.61","36","19.0","3:42","161","3:56","3:56"
"11","3:48.6","44:51","1.00","3:49","152","163","3","5","162","1.62","46","20.0","2:23","183","3:48.6","3:49"
"12","4:15.3","49:07","1.00","4:15","148","162","4","3","155","1.52","47","20.0","2:17","219","4:15","4:15"
"13","3:59.5","53:06","1.00","4:00","152","164","1","4","157","1.60","48","20.0","2:08","196","3:59.5","4:00"
"14","0:11.7","53:18","0.08","2:21","150","156","0","0","209","2.05","2","20.0","1:58","217","0:11","2:12"
"15","1:41.4","54:59","0.29","5:48","148","164","0","1","145","1.19","17","20.0","4:17","163","1:41","5:47"
"Summary","54:59","54:59","13.37","4:07","140","164","46","52","157","1.54","551","20.5","1:58","219","54:56","4:06"
