"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.31","3:12","123","133","0","0","159","1.97","7","25.0","2:56","178","1:00","3:12"
"","","Rest","2","1:30","2:30","0.27","5:38","136","146","3","0","116","1.53","15","25.0","2:56","175","1:09","4:19"
"","2","Run","3","1:00","3:30","0.32","3:09","146","149","0","0","170","1.88","11","25.0","2:58","174","1:00","3:09"
"","","Rest","4","1:30","5:00","0.30","5:03","141","149","1","1","143","1.38","16","24.0","3:04","172","1:30","5:03"
"","3","Run","5","1:00","6:00","0.35","2:50","147","150","0","0","172","2.05","11","24.0","2:42","175","1:00","2:50"
"","","Rest","6","1:30","7:30","0.29","5:15","145","150","0","0","133","1.43","16","23.0","2:42","175","1:30","5:15"
"","4","Run","7","1:00","8:30","0.35","2:52","151","156","1","0","173","2.02","11","23.0","2:44","177","1:00","2:52"
"","","Rest","8","1:30","10:00","0.27","5:31","152","157","0","1","144","1.25","18","23.0","2:42","175","1:30","5:31"
"","5","Run","9","1:00","11:00","0.36","2:47","156","160","0","1","175","2.05","12","23.0","2:32","180","1:00","2:47"
"","","Rest","10","1:30","12:30","0.22","6:56","157","163","2","0","113","1.28","18","23.0","2:40","180","1:30","6:56"
"","6","Run","11","3:16.4","15:46","0.54","6:05","137","156","2","1","132","1.25","29","24.0","4:29","161","2:59","5:32"
"","Summary","--","--","15:46","15:46","3.57","4:25","144","163","9","5","143","1.54","164","23.8","2:32","180","15:08","4:15"
