"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:37.5","4:37.5","1.00","4:37","125","137","6","5","161","1.34","49","26.0","4:05","170","4:35","4:35"
"2","4:33.8","9:11.3","1.00","4:34","135","139","0","3","163","1.34","54","22.0","4:13","170","4:33.8","4:34"
"3","4:15.9","13:27","1.00","4:16","136","139","1","0","162","1.45","49","21.0","3:45","167","4:15","4:15"
"4","4:04.6","17:32","1.00","4:05","140","142","5","4","164","1.49","47","21.0","3:40","169","4:04","4:04"
"5","4:09.2","21:41","1.00","4:09","141","144","2","0","164","1.47","49","21.0","3:20","170","4:09.2","4:09"
"6","4:00.2","25:41","1.00","4:00","142","144","2","1","164","1.52","45","21.0","3:56","167","4:00","4:00"
"7","4:04.3","29:45","1.00","4:04","141","144","1","0","163","1.50","44","21.0","3:34","169","4:04","4:04"
"8","4:00.4","33:46","1.00","4:00","142","148","12","9","164","1.52","43","21.0","3:11","170","4:00","4:00"
"9","4:01.1","37:47","1.00","4:01","140","144","2","7","164","1.52","40","21.0","3:37","167","4:01.1","4:01"
"10","4:11.0","41:58","1.00","4:11","145","151","16","6","164","1.45","47","21.0","3:51","169","4:11.0","4:11"
"11","4:31.3","46:29","1.00","4:31","141","148","12","18","164","1.35","44","22.0","4:05","169","4:30","4:30"
"12","4:09.6","50:39","1.00","4:10","141","145","2","1","164","1.46","39","22.0","3:42","170","4:09","4:09"
"13","4:07.8","54:47","1.00","4:08","142","146","3","5","164","1.48","39","22.0","3:51","172","4:07.8","4:08"
"14","4:03.0","58:50","1.00","4:03","142","145","1","2","165","1.50","37","22.0","3:50","173","4:03","4:03"
"15","4:11.5","1:03:01","1.00","4:12","144","148","5","1","164","1.45","39","22.0","3:53","167","4:11.5","4:12"
"16","4:24.7","1:07:26","1.00","4:25","144","151","12","17","165","1.37","41","22.0","3:52","172","4:24","4:24"
"17","4:16.3","1:11:42","1.00","4:16","141","145","2","4","164","1.43","35","22.0","3:44","169","4:16.3","4:16"
"18","4:01.3","1:15:44","1.00","4:01","140","142","2","3","163","1.53","30","22.0","3:39","173","4:01","4:01"
"19","3:52.7","1:19:36","1.00","3:53","143","146","3","0","163","1.58","32","23.0","3:28","172","3:52.7","3:53"
"20","0:03.9","1:19:40","0.02","2:56","144","144","0","0","171","1.99","0","22.0","3:29","172","0:03","2:16"
"Summary","1:19:40","1:19:40","19.02","4:11","140","151","90","88","164","1.46","803","21.9","3:11","173","1:19:32","4:11"
