"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:22.3","4:22.3","1.00","4:22","134","148","3","1","162","1.41","49","26.0","3:56","171","4:22","4:22"
"2","3:40.4","8:02.7","1.00","3:40","142","155","2","0","164","1.66","46","24.0","3:20","175","3:40","3:40"
"3","3:29.2","11:32","1.00","3:29","149","155","2","2","167","1.72","48","22.0","2:55","170","3:29","3:29"
"4","3:36.8","15:09","1.00","3:37","153","156","3","2","167","1.66","51","22.0","3:29","170","3:36.8","3:37"
"5","3:36.2","18:45","1.00","3:36","152","155","1","3","166","1.67","50","23.0","3:26","170","3:36","3:36"
"6","3:38.4","22:23","1.00","3:38","153","156","6","1","165","1.67","50","23.0","3:18","170","3:38.4","3:38"
"7","3:48.4","26:12","1.00","3:48","150","156","0","5","165","1.60","49","23.0","3:17","169","3:48.4","3:48"
"8","3:42.1","29:54","1.00","3:42","150","154","2","0","164","1.64","47","23.0","3:42","167","3:41","3:41"
"9","3:38.8","33:32","1.00","3:39","151","155","2","2","165","1.66","47","22.0","3:11","170","3:38.8","3:39"
"10","3:41.7","37:14","1.00","3:42","152","156","4","3","164","1.65","48","22.0","3:46","169","3:41","3:41"
"11","3:35.9","40:50","1.00","3:36","152","156","0","2","165","1.68","45","22.0","3:10","174","3:35.9","3:36"
"12","3:41.7","44:32","1.00","3:42","152","155","0","3","165","1.64","47","21.0","3:18","169","3:41","3:41"
"13","3:07.6","47:39","0.73","4:17","152","156","6","3","158","1.47","39","21.0","3:20","170","3:07.6","4:17"
"Summary","47:39","47:39","12.73","3:45","149","156","32","27","164","1.63","616","22.7","2:55","175","47:36","3:44"
