"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","1:49.1","1:49.1","0.50","3:36","146","164","7","1","161","1.73","17","16.0","3:17","183","1:46","3:30"
"2","1:48.7","3:37.8","0.50","3:37","164","166","7","0","166","1.67","23","14.0","3:29","170","1:48.7","3:37"
"3","3:37.0","7:14.9","1.00","3:37","166","169","9","0","165","1.67","45","13.0","3:23","169","3:37","3:37"
"4","3:37.1","10:52","0.99","3:40","170","172","11","0","165","1.65","46","12.0","3:26","169","3:37","3:40"
"5","3:50.8","14:43","1.06","3:38","172","174","13","0","164","1.67","49","11.0","3:25","169","3:50.8","3:38"
"6","3:42.7","18:25","1.02","3:38","167","172","1","11","163","1.68","46","12.0","3:27","170","3:42.7","3:38"
"7","3:29.2","21:55","0.94","3:42","167","170","1","14","165","1.64","43","13.0","3:22","170","3:29","3:42"
"8","3:32.9","25:28","1.01","3:30","167","169","0","10","163","1.74","44","13.0","3:20","171","3:32.9","3:30"
"9","3:27.2","28:55","1.03","3:21","168","170","0","13","165","1.81","43","14.0","3:13","170","3:27","3:21"
"10","7:23.9","36:19","2.02","3:40","172","174","22","1","163","1.67","93","13.0","3:27","169","7:23.9","3:40"
"11","3:31.1","39:50","0.97","3:37","171","175","2","8","164","1.69","44","14.0","3:27","167","3:31","3:37"
"12","3:28.4","43:18","1.01","3:26","169","172","0","14","164","1.77","42","14.0","3:17","170","3:28","3:25"
"13","0:00.2","43:18","0","0","167","167","--","--","165","0","--","14.0","0","165","0:00.2","0"
"Summary","43:18","43:18","12.05","3:36","168","175","72","71","164","1.70","535","13.1","3:13","183","43:14","3:35"
