"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:51.7","4:51.7","1.00","4:52","129","146","27","20","158","1.30","39","19.0","4:18","172","4:45","4:45"
"2","4:28.3","9:20.0","1.00","4:28","140","142","20","0","160","1.40","39","16.0","4:14","165","4:28","4:28"
"3","4:36.1","13:56","1.00","4:36","143","148","34","0","158","1.37","41","14.0","4:17","163","4:36.1","4:36"
"4","4:24.9","18:21","1.00","4:25","142","147","14","0","161","1.41","39","12.0","4:12","167","4:24","4:24"
"5","4:22.8","22:44","1.00","4:23","139","143","11","0","160","1.43","34","12.0","4:04","163","4:22.8","4:23"
"6","4:21.0","27:05","1.00","4:21","140","143","14","1","161","1.43","33","12.0","3:57","165","4:21","4:21"
"7","4:22.0","31:27","1.00","4:22","142","145","16","0","160","1.43","33","11.0","4:10","165","4:22.0","4:22"
"8","3:51.4","35:18","1.00","3:51","130","143","1","55","165","1.58","23","10.0","3:33","176","3:51","3:51"
"9","4:04.1","39:22","1.00","4:04","136","140","0","24","163","1.51","28","8.0","3:50","169","4:04","4:04"
"10","4:10.6","43:33","1.00","4:11","138","142","0","6","160","1.50","28","8.0","4:07","165","4:10.6","4:11"
"11","3:58.9","47:32","1.00","3:59","131","140","0","59","163","1.54","23","8.0","3:51","169","3:58.9","3:59"
"12","4:08.5","51:40","1.00","4:09","135","141","1","32","162","1.49","26","6.0","3:57","167","4:08","4:08"
"13","4:26.2","56:07","1.00","4:26","145","155","20","6","161","1.40","38","6.0","4:06","165","4:26","4:26"
"14","4:03.5","1:00:10","1.00","4:03","141","146","1","21","162","1.52","28","6.0","3:49","174","4:03.5","4:04"
"15","4:08.8","1:04:19","1.00","4:09","136","145","0","9","159","1.51","24","6.0","3:54","171","4:08","4:08"
"16","4:12.2","1:08:31","1.00","4:12","140","148","8","9","160","1.49","27","6.0","3:50","167","4:12","4:12"
"17","4:32.0","1:13:03","1.00","4:32","146","150","27","0","160","1.38","38","6.0","3:59","165","4:32","4:32"
"18","4:29.5","1:17:33","1.00","4:30","147","150","34","0","158","1.41","38","6.0","4:02","163","4:29","4:29"
"19","4:10.6","1:21:43","1.00","4:11","143","150","10","8","158","1.51","29","7.0","3:52","165","4:10.6","4:11"
"20","4:08.1","1:25:51","1.00","4:08","140","144","2","6","158","1.53","22","7.0","3:50","163","4:08","4:08"
"21","4:06.6","1:29:58","1.00","4:07","143","147","5","1","159","1.53","25","7.0","3:58","163","4:06.6","4:07"
"22","2:27.2","1:32:25","0.59","4:08","147","150","15","1","159","1.52","17","7.0","3:55","165","2:26","4:06"
"Summary","1:32:25","1:32:25","21.59","4:17","140","155","260","258","160","1.46","672","9.2","3:33","176","1:32:13","4:16"
