"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:00.3","4:00.3","1.00","4:00","136","149","1","1","156","1.60","40","26.0","3:39","173","3:57","3:57"
"2","4:04.5","8:04.8","1.00","4:04","143","149","0","0","156","1.57","44","24.0","3:55","163","4:04.5","4:04"
"3","4:51.8","12:57","1.00","4:52","152","157","8","8","154","1.34","58","23.0","4:06","161","4:51","4:51"
"4","0:02.0","12:59","0.01","6:22","152","153","0","0","99","1.59","0","23.0","7:04","99","0:01","3:13"
"Summary","12:59","12:59","3.01","4:19","144","157","9","9","155","1.49","142","24.2","3:39","173","12:53","4:17"
