"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:44.2","4:44.2","1.00","4:44","122","132","6","5","162","1.30","37","22.0","3:53","175","4:44.2","4:44"
"2","4:05.9","8:50.2","1.00","4:06","133","139","8","6","160","1.53","36","18.0","3:54","169","4:05.9","4:06"
"3","4:08.4","12:59","1.00","4:08","136","140","1","3","160","1.51","36","15.0","3:58","171","4:08","4:08"
"4","4:12.8","17:11","1.00","4:13","138","143","11","6","159","1.49","35","13.0","3:55","165","4:12.8","4:13"
"5","4:00.4","21:12","1.00","4:00","136","144","0","14","160","1.56","31","13.0","3:44","163","4:00","4:00"
"6","4:26.2","25:38","1.00","4:26","133","143","9","1","155","1.45","31","13.0","3:48","167","4:25","4:25"
"7","3:54.2","29:32","1.00","3:54","143","150","8","10","160","1.60","34","13.0","3:41","165","3:54","3:54"
"8","4:06.7","33:39","1.00","4:07","142","146","2","2","161","1.51","34","12.0","3:41","167","4:06","4:06"
"9","4:08.8","37:48","1.00","4:09","142","146","7","4","158","1.52","34","12.0","3:53","161","4:08.8","4:09"
"10","4:07.5","41:55","1.00","4:08","140","145","3","7","160","1.52","31","14.0","3:41","167","4:07.5","4:08"
"11","0:15.2","42:10","0.06","4:19","141","142","0","0","161","1.44","1","14.0","4:02","163","0:14","3:59"
"Summary","42:10","42:10","10.06","4:12","136","150","56","59","159","1.50","340","14.6","3:41","175","42:06","4:11"
