"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"","1","Run","1","1:00","1:00","0.36","2:47","144","163","3","2","165","2.17","12","18.0","2:38","190","1:00","2:47"
"","","Rest","2","1:30","2:30","0.26","5:52","149","164","0","0","134","1.28","21","18.0","2:55","179","1:30","5:52"
"","2","Run","3","1:00","3:30","0.33","3:02","152","168","2","3","168","1.95","14","18.0","2:37","185","0:59","2:59"
"","","Rest","4","1:30","5:00","0.31","4:52","154","170","1","0","151","1.36","22","18.0","3:29","177","1:30","4:52"
"","3","Run","5","1:00","6:00","0.34","2:55","157","170","0","1","177","1.93","14","18.0","2:35","183","0:59","2:52"
"","","Rest","6","1:30","7:30","0.21","7:06","153","171","2","1","119","1.18","21","18.0","3:43","177","1:30","7:06"
"","4","Run","7","1:00","8:30","0.34","2:54","150","168","1","0","168","2.05","13","18.0","2:32","185","1:00","2:54"
"","","Rest","8","1:30","10:00","0.25","6:05","152","170","0","0","148","1.11","21","18.0","2:46","183","1:30","6:05"
"","5","Run","9","1:00","11:00","0.33","3:03","155","170","1","0","174","1.89","14","19.0","2:34","185","1:00","3:03"
"","","Rest","10","1:30","12:30","0.30","5:01","154","171","0","1","150","1.33","21","19.0","3:17","175","1:29","4:57"
"","6","Run","11","1:00","13:30","0.34","2:57","158","170","0","0","178","1.90","14","19.0","2:31","183","1:00","2:57"
"","","Rest","12","1:30","15:00","0.20","7:22","154","172","2","3","98","1.38","21","18.0","3:09","179","1:06","5:24"
"","7","Run","13","1:55.3","16:55","0.02","0","108","127","0","0","8","1.01","7","19.0","0","154","0","--"
"","Summary","--","--","16:55","16:55","3.58","4:44","148","172","13","12","133","1.50","215","18.3","2:31","190","14:33","4:04"
