"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:06.8","4:06.8","1.00","4:07","142","150","0","1","158","1.54","45","23.0","3:42","172","4:06.8","4:07"
"2","4:00.8","8:07.6","1.00","4:01","165","181","6","8","157","1.59","53","20.0","3:24","172","4:00","4:00"
"3","3:47.8","11:55","1.00","3:48","165","171","2","3","159","1.66","50","19.0","3:31","161","3:47","3:47"
"4","3:56.8","15:52","1.00","3:57","161","170","1","1","158","1.60","51","19.0","3:47","165","3:56.8","3:57"
"5","0:20.2","16:12","0.03","10:36","158","161","0","0","102","0.93","4","18.0","3:50","161","0:15","7:53"
"6","3:51.3","20:04","1.00","3:51","161","172","1","1","156","1.66","49","19.0","3:45","163","3:51.3","3:51"
"7","3:47.9","23:52","1.00","3:48","162","168","3","2","160","1.65","48","19.0","3:42","163","3:46","3:46"
"8","3:54.7","27:46","1.00","3:55","157","166","5","4","157","1.62","45","19.0","3:29","167","3:54.7","3:55"
"9","3:47.1","31:33","1.00","3:47","148","159","2","0","159","1.66","33","19.0","3:37","163","3:47","3:47"
"10","0:04.9","31:38","0.02","3:26","157","158","0","0","158","1.84","0","19.0","3:41","159","0:04","2:49"
"Summary","31:38","31:38","8.06","3:56","157","181","20","20","157","1.62","378","19.6","3:24","172","31:29","3:54"
